Romeo and Juliet (Paperback),William Shakespeare
Hamlet (Paperback),William Shakespeare
Macbeth (Paperback),William Shakespeare
Othello (Paperback),William Shakespeare
A Midsummer Night's Dream (Paperback),William Shakespeare
King Lear (Mass Market Paperback),William Shakespeare
Waiting for Godot (Paperback),Samuel Beckett
The Crucible (Paperback),Arthur  Miller
The Tempest (Mass Market Paperback),William Shakespeare
Death of a Salesman (Hardcover),Arthur  Miller
The Importance of Being Earnest (Paperback),Oscar Wilde
A Streetcar Named Desire (Paperback),Tennessee Williams
Julius Caesar (Paperback),William Shakespeare
The Merchant of Venice (Paperback),William Shakespeare
Twelfth Night (Paperback),William Shakespeare
Much Ado About Nothing (Paperback),William Shakespeare
A Doll's House (Paperback),Henrik Ibsen
The Elephant Tree (Paperback),R.D. Ronald
"Oedipus Rex  (The Theban Plays, #1)",Sophocles
The Taming of the Shrew (Paperback),William Shakespeare
The Glass Menagerie (Paperback),Tennessee Williams
Rosencrantz and Guildenstern Are Dead (Paperback),Tom Stoppard
The Fault in Our Stars (Hardcover),John Green
"Antigone (The Theban Plays, #3)",Sophocles
The Zombie Room (Kindle Edition),R.D. Ronald
As You Like It (Paperback),William Shakespeare
Richard III (Paperback),William Shakespeare
The Kite Runner (Paperback),Khaled Hosseini
Who's Afraid of Virginia Woolf? (Paperback),Edward Albee
Dr. Faustus (Paperback),Christopher Marlowe
Pygmalion (Paperback),George Bernard Shaw
"To Kill a Mockingbird (To Kill a Mockingbird, #1)",Harper Lee
My Sister's Keeper (Paperback),Jodi Picoult
Henry V (Paperback),William Shakespeare
The Help (Hardcover),Kathryn Stockett
The Lovely Bones (Mass Market Paperback),Alice Sebold
Antony and Cleopatra (Paperback),William Shakespeare
Gone Girl (Paperback),Gillian Flynn
The Girl on the Train (Hardcover),Paula Hawkins
"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone (Paperback)",Sophocles
The Winter's Tale (Paperback),William Shakespeare
"King Henry IV, Part 1 (Paperback)",William Shakespeare
"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides (Paperback)",Aeschylus
A Raisin in the Sun (Hardcover),Lorraine Hansberry
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany
Medea (Paperback),Euripides
The Great Gatsby (Paperback),F. Scott Fitzgerald
The Book Thief (Hardcover),Markus Zusak
Long Day's Journey into Night (Paperback),Eugene O'Neill
Our Town (Paperback),Thornton Wilder
